< 0, 0, 0 >
< 62.1188, 0, 56.5676 >
< 62.1188, 0, 55.4584 >
< 62.1188, 0, 55.4584 >
< 60.2645, 0, 55.4584 >
< 60.2645, 0, 53.2401 >
< 59.3374, 0, 53.2401 >
< 59.3374, 0, 52.1309 >
< 59.3374, 0, 52.1309 >
< 59.3374, 0, 51.0218 >
< 59.3374, 0, 51.0218 >
< 60.2645, 0, 52.1309 >
< 60.2645, 0, 52.1309 >
< 60.2645, 0, 52.1309 >
< 60.2645, 0, 52.1309 >
< 60.2645, 0, 52.1309 >
< 62.1188, 0, 52.1309 >
< 62.1188, 0, 52.1309 >
< 63.046, 0, 54.3493 >
< 64.9003, 0, 56.5676 >
< 65.8274, 0, 57.6768 >
< 65.8274, 0, 56.5676 >
< 64.9003, 0, 55.4584 >
< 65.8274, 0, 53.2401 >
< 65.8274, 0, 53.2401 >
< 65.8274, 0, 52.1309 >
< 65.8274, 0, 51.0218 >
< 66.7545, 0, 51.0218 >
< 66.7545, 0, 51.0218 >
< 66.7545, 0, 49.9126 >
< 66.7545, 0, 49.9126 >
< 68.6088, 0, 48.8034 >
< 69.536, 0, 48.8034 >
< 69.536, 0, 48.8034 >
< 69.536, 0, 48.8034 >
< 70.4631, 0, 46.5851 >
< 70.4631, 0, 46.5851 >
< 70.4631, 0, 45.4759 >
< 72.3174, 0, 44.3667 >
< 72.3174, 0, 43.2576 >
< 73.2446, 0, 42.1484 >
< 73.2446, 0, 41.0392 >
< 73.2446, 0, 41.0392 >
< 72.3174, 0, 38.8209 >
< 72.3174, 0, 37.7117 >
< 72.3174, 0, 37.7117 >
< 70.4631, 0, 35.4934 >
< 70.4631, 0, 35.4934 >
< 70.4631, 0, 34.3842 >
< 69.536, 0, 34.3842 >
< 69.536, 0, 34.3842 >
< 68.6088, 0, 35.4934 >
< 66.7545, 0, 34.3842 >
< 66.7545, 0, 34.3842 >
< 65.8274, 0, 33.2751 >
< 64.9003, 0, 32.1659 >
< 64.9003, 0, 32.1659 >
< 63.046, 0, 32.1659 >
< 63.046, 0, 33.2751 >
< 63.046, 0, 33.2751 >
< 60.2645, 0, 33.2751 >
< 60.2645, 0, 33.2751 >
< 59.3374, 0, 33.2751 >
< 59.3374, 0, 32.1659 >
< 58.4102, 0, 32.1659 >
< 59.3374, 0, 33.2751 >
< 59.3374, 0, 34.3842 >
< 59.3374, 0, 34.3842 >
< 59.3374, 0, 34.3842 >
< 60.2645, 0, 35.4934 >
< 60.2645, 0, 35.4934 >
< 60.2645, 0, 36.6026 >
< 60.2645, 0, 36.6026 >
< 60.2645, 0, 36.6026 >
< 62.1188, 0, 37.7117 >
< 62.1188, 0, 37.7117 >
< 62.1188, 0, 37.7117 >
< 62.1188, 0, 37.7117 >
< 62.1188, 0, 37.7117 >
< 63.046, 0, 37.7117 >
< 63.046, 0, 38.8209 >
< 63.046, 0, 39.9301 >
< 64.9003, 0, 39.9301 >
< 64.9003, 0, 41.0392 >
< 64.9003, 0, 41.0392 >
< 91.7875, 0, 16.6375 >
< 94.5689, 0, 16.6375 >
< 96.4232, 0, 17.7467 >
< 98.2775, 0, 17.7467 >
< 100.132, 0, 18.8559 >
< 102.913, 0, 19.965 >
< 103.84, 0, 19.965 >
< 106.622, 0, 19.965 >
< 107.549, 0, 19.965 >
< 109.403, 0, 19.965 >
